,longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,ocean_proximity,income_cat,bedrooms_per_room
88,-122.27,37.8,10.0,105.0,42.0,125.0,39.0,0.9722,NEAR BAY,1,0.4
89,-122.27,37.8,52.0,249.0,78.0,396.0,85.0,1.2434,NEAR BAY,1,0.3132530120481928
90,-122.27,37.8,16.0,994.0,392.0,800.0,362.0,2.0938,NEAR BAY,2,0.39436619718309857
91,-122.28,37.8,52.0,215.0,87.0,904.0,88.0,0.8668,NEAR BAY,1,0.4046511627906977
92,-122.28,37.8,52.0,96.0,31.0,191.0,34.0,0.75,NEAR BAY,1,0.3229166666666667
93,-122.27,37.79,27.0,1055.0,347.0,718.0,302.0,2.6354,NEAR BAY,2,0.3289099526066351
94,-122.27,37.8,39.0,1715.0,623.0,1327.0,467.0,1.8477,NEAR BAY,2,0.363265306122449
95,-122.26,37.8,36.0,5329.0,2477.0,3469.0,2323.0,2.0096,NEAR BAY,2,0.4648151623193845
96,-122.26,37.82,31.0,4596.0,1331.0,2048.0,1180.0,2.8345,NEAR BAY,2,0.28959965187119235
97,-122.26,37.81,29.0,335.0,107.0,202.0,91.0,2.0062,NEAR BAY,2,0.3194029850746269
98,-122.26,37.82,22.0,3682.0,1270.0,2024.0,1250.0,1.2185,NEAR BAY,1,0.3449212384573601
99,-122.26,37.82,37.0,3633.0,1085.0,1838.0,980.0,2.6104,NEAR BAY,2,0.29865125240847784
100,-122.25,37.81,29.0,4656.0,1414.0,2304.0,1250.0,2.4912,NEAR BAY,2,0.30369415807560135
101,-122.25,37.81,28.0,5806.0,1603.0,2563.0,1497.0,3.2177,NEAR BAY,3,0.27609369617636925
102,-122.25,37.81,39.0,854.0,242.0,389.0,228.0,3.125,NEAR BAY,3,0.28337236533957844
103,-122.25,37.81,52.0,2155.0,701.0,895.0,613.0,2.5795,NEAR BAY,2,0.3252900232018561
104,-122.26,37.81,34.0,5871.0,1914.0,2689.0,1789.0,2.8406,NEAR BAY,2,0.3260091977516607
105,-122.24,37.82,52.0,1509.0,225.0,674.0,244.0,4.9306,NEAR BAY,4,0.14910536779324055
106,-122.24,37.81,52.0,2026.0,482.0,709.0,456.0,3.2727,NEAR BAY,3,0.23790720631786771
107,-122.25,37.81,52.0,1758.0,460.0,686.0,422.0,3.1691,NEAR BAY,3,0.2616609783845279
108,-122.24,37.82,52.0,3481.0,751.0,1444.0,718.0,3.9,NEAR BAY,3,0.21574260270037346
109,-122.25,37.82,28.0,3337.0,855.0,1520.0,802.0,3.9063,NEAR BAY,3,0.25621816002397363
110,-122.25,37.82,52.0,1424.0,289.0,550.0,253.0,5.0917,NEAR BAY,4,0.2029494382022472
111,-122.25,37.82,32.0,3809.0,1098.0,1806.0,1022.0,2.6429,NEAR BAY,2,0.28826463638750327
112,-122.25,37.82,26.0,3959.0,1196.0,1749.0,1217.0,3.0233,NEAR BAY,3,0.30209648901237685
113,-122.25,37.83,52.0,2376.0,559.0,939.0,519.0,3.1484,NEAR BAY,3,0.23526936026936027
114,-122.25,37.83,35.0,1613.0,428.0,675.0,422.0,3.4722,NEAR BAY,3,0.2653440793552387
115,-122.25,37.83,52.0,1279.0,287.0,534.0,291.0,3.1429,NEAR BAY,3,0.22439405785770133
116,-122.25,37.83,28.0,5022.0,1750.0,2558.0,1661.0,2.4234,NEAR BAY,2,0.34846674631620866
117,-122.25,37.83,52.0,4190.0,1105.0,1786.0,1037.0,3.0897,NEAR BAY,3,0.2637231503579952
118,-122.23,37.84,50.0,2515.0,399.0,970.0,373.0,5.8596,NEAR BAY,4,0.15864811133200796
119,-122.23,37.84,47.0,3175.0,454.0,1098.0,485.0,5.2868,NEAR BAY,4,0.14299212598425196
120,-122.24,37.83,41.0,2576.0,406.0,794.0,376.0,5.956,NEAR BAY,4,0.15760869565217392
121,-122.24,37.85,37.0,334.0,54.0,98.0,47.0,4.9643,NEAR BAY,4,0.16167664670658682
122,-122.23,37.85,52.0,2800.0,411.0,1061.0,403.0,6.3434,NEAR BAY,5,0.1467857142857143
123,-122.24,37.84,52.0,3529.0,574.0,1177.0,555.0,5.1773,NEAR BAY,4,0.16265230943610087
124,-122.24,37.85,52.0,2612.0,365.0,901.0,367.0,7.2354,NEAR BAY,5,0.139739663093415
125,-122.22,37.85,28.0,5287.0,1048.0,2031.0,956.0,5.457,NEAR BAY,4,0.1982220540949499
126,-122.22,37.84,50.0,2935.0,473.0,1031.0,479.0,7.5,NEAR BAY,5,0.16115843270868824
127,-122.21,37.84,44.0,3424.0,597.0,1358.0,597.0,6.0194,NEAR BAY,5,0.174357476635514
128,-122.21,37.83,40.0,4991.0,674.0,1616.0,654.0,7.5544,NEAR BAY,5,0.13504307753957123
129,-122.2,37.84,30.0,2211.0,346.0,844.0,343.0,6.0666,NEAR BAY,5,0.15649027589326098
130,-122.21,37.84,34.0,3038.0,490.0,1140.0,496.0,7.0548,NEAR BAY,5,0.16129032258064516
131,-122.19,37.84,18.0,1617.0,210.0,533.0,194.0,11.6017,NEAR BAY,5,0.12987012987012986
132,-122.2,37.84,35.0,2865.0,460.0,1072.0,443.0,7.4882,NEAR BAY,5,0.16055846422338568
133,-122.21,37.83,34.0,5065.0,788.0,1627.0,766.0,6.8976,NEAR BAY,5,0.15557749259624876
134,-122.19,37.83,28.0,1326.0,184.0,463.0,190.0,8.2049,NEAR BAY,5,0.138763197586727
135,-122.2,37.83,26.0,1589.0,223.0,542.0,211.0,8.401,NEAR BAY,5,0.14033983637507866
136,-122.19,37.83,29.0,1791.0,271.0,661.0,269.0,6.8538,NEAR BAY,5,0.15131211613623674
137,-122.19,37.82,32.0,1835.0,264.0,635.0,263.0,8.317,NEAR BAY,5,0.1438692098092643
138,-122.2,37.82,37.0,1229.0,181.0,420.0,176.0,7.0175,NEAR BAY,5,0.14727420667209112
139,-122.2,37.82,39.0,3770.0,534.0,1265.0,500.0,6.3302,NEAR BAY,5,0.14164456233421752
140,-122.18,37.81,30.0,292.0,38.0,126.0,52.0,6.3624,NEAR BAY,5,0.13013698630136986
141,-122.21,37.82,52.0,2375.0,333.0,813.0,350.0,7.0549,NEAR BAY,5,0.14021052631578948
142,-122.2,37.81,45.0,2964.0,436.0,1067.0,426.0,6.7851,NEAR BAY,5,0.14709851551956815
143,-122.21,37.8,50.0,2833.0,605.0,1260.0,552.0,2.8929,NEAR BAY,2,0.21355453582774445
144,-122.21,37.8,38.0,2254.0,535.0,951.0,487.0,3.0812,NEAR BAY,3,0.23735581188997337
145,-122.21,37.81,52.0,1389.0,212.0,510.0,224.0,5.2402,NEAR BAY,4,0.15262778977681785
146,-122.22,37.81,52.0,1971.0,335.0,765.0,308.0,6.5217,NEAR BAY,5,0.16996448503297817
147,-122.22,37.8,52.0,2183.0,465.0,1129.0,460.0,3.2632,NEAR BAY,3,0.21300961978928082
148,-122.22,37.8,52.0,2286.0,464.0,1073.0,441.0,3.0298,NEAR BAY,3,0.20297462817147857
149,-122.22,37.8,52.0,2721.0,541.0,1185.0,515.0,4.5428,NEAR BAY,4,0.1988239617787578
150,-122.22,37.81,52.0,2024.0,339.0,756.0,340.0,4.072,NEAR BAY,3,0.1674901185770751
151,-122.22,37.81,52.0,2944.0,536.0,1034.0,521.0,5.3509,NEAR BAY,4,0.18206521739130435
152,-122.23,37.8,52.0,2033.0,486.0,787.0,459.0,3.1603,NEAR BAY,3,0.23905558288243975
153,-122.23,37.81,52.0,1433.0,229.0,612.0,213.0,4.7708,NEAR BAY,4,0.159804605722261
154,-122.22,37.81,52.0,2927.0,402.0,1021.0,380.0,8.1564,NEAR BAY,5,0.13734198838401093
155,-122.23,37.81,52.0,2315.0,292.0,861.0,258.0,8.8793,NEAR BAY,5,0.126133909287257
156,-122.24,37.81,52.0,2485.0,313.0,953.0,327.0,6.8591,NEAR BAY,5,0.12595573440643862
157,-122.24,37.81,52.0,1490.0,238.0,634.0,256.0,6.0302,NEAR BAY,5,0.1597315436241611
158,-122.23,37.81,52.0,2814.0,365.0,878.0,352.0,7.508,NEAR BAY,5,0.1297085998578536
159,-122.24,37.81,52.0,2093.0,550.0,918.0,483.0,2.7477,NEAR BAY,2,0.26278069756330624
160,-122.24,37.8,52.0,888.0,168.0,360.0,175.0,2.1944,NEAR BAY,2,0.1891891891891892
161,-122.25,37.8,52.0,2087.0,510.0,1197.0,488.0,3.0149,NEAR BAY,3,0.24436990896023
162,-122.24,37.81,52.0,2513.0,502.0,1048.0,518.0,3.675,NEAR BAY,3,0.19976124154397135
163,-122.25,37.81,46.0,3232.0,835.0,1373.0,747.0,3.225,NEAR BAY,3,0.2583539603960396
164,-122.25,37.8,42.0,4120.0,1065.0,1715.0,1015.0,2.9345,NEAR BAY,2,0.25849514563106796
165,-122.25,37.8,43.0,2364.0,792.0,1359.0,722.0,2.1429,NEAR BAY,2,0.3350253807106599
166,-122.25,37.8,41.0,1471.0,469.0,1062.0,413.0,1.6121,NEAR BAY,2,0.318830727396329
167,-122.25,37.8,29.0,2468.0,864.0,1335.0,773.0,1.3929,NEAR BAY,1,0.3500810372771475
168,-122.24,37.79,27.0,1632.0,492.0,1171.0,429.0,2.3173,NEAR BAY,2,0.3014705882352941
169,-122.25,37.79,45.0,1786.0,526.0,1475.0,460.0,1.7772,NEAR BAY,2,0.2945128779395297
170,-122.25,37.79,50.0,629.0,188.0,742.0,196.0,2.6458,NEAR BAY,2,0.2988871224165342
171,-122.25,37.79,52.0,1339.0,391.0,1086.0,363.0,2.181,NEAR BAY,2,0.29200896191187453
172,-122.25,37.8,36.0,1678.0,606.0,1645.0,543.0,2.2303,NEAR BAY,2,0.36114421930870083
173,-122.25,37.8,43.0,2344.0,647.0,1710.0,644.0,1.6504,NEAR BAY,2,0.27602389078498296
174,-122.24,37.8,52.0,996.0,228.0,731.0,228.0,2.2697,NEAR BAY,2,0.2289156626506024
175,-122.24,37.8,52.0,1591.0,373.0,1118.0,347.0,2.1563,NEAR BAY,2,0.23444374607165305
176,-122.24,37.8,52.0,1586.0,398.0,1006.0,335.0,2.1348,NEAR BAY,2,0.2509457755359395
177,-122.24,37.8,47.0,2046.0,588.0,1213.0,554.0,2.6292,NEAR BAY,2,0.2873900293255132
178,-122.23,37.8,52.0,1192.0,289.0,772.0,257.0,2.3833,NEAR BAY,2,0.2424496644295302
179,-122.24,37.8,52.0,1803.0,420.0,1321.0,401.0,2.957,NEAR BAY,2,0.23294509151414308
180,-122.24,37.8,49.0,2838.0,749.0,1487.0,677.0,2.5238,NEAR BAY,2,0.2639182522903453
181,-122.23,37.8,52.0,783.0,184.0,488.0,186.0,1.9375,NEAR BAY,2,0.23499361430395913
182,-122.23,37.8,51.0,1590.0,414.0,949.0,392.0,1.9028,NEAR BAY,2,0.26037735849056604
183,-122.23,37.8,50.0,1746.0,480.0,1149.0,415.0,2.25,NEAR BAY,2,0.27491408934707906
184,-122.23,37.8,52.0,1252.0,299.0,844.0,280.0,2.3929,NEAR BAY,2,0.2388178913738019
185,-122.23,37.79,43.0,5963.0,1344.0,4367.0,1231.0,2.1917,NEAR BAY,2,0.2253899044105316
186,-122.23,37.79,52.0,1783.0,395.0,1659.0,412.0,2.9357,NEAR BAY,2,0.22153673583847447
187,-122.23,37.79,30.0,999.0,264.0,1011.0,263.0,1.8854,NEAR BAY,2,0.26426426426426425
188,-122.24,37.79,39.0,1469.0,431.0,1464.0,389.0,2.1638,NEAR BAY,2,0.29339686861810754
189,-122.24,37.79,47.0,1372.0,395.0,1237.0,303.0,2.125,NEAR BAY,2,0.2879008746355685
190,-122.24,37.79,52.0,674.0,180.0,647.0,168.0,3.375,NEAR BAY,3,0.26706231454005935
191,-122.24,37.79,43.0,1626.0,376.0,1284.0,357.0,2.2542,NEAR BAY,2,0.23124231242312424
192,-122.25,37.79,51.0,175.0,43.0,228.0,55.0,2.1,NEAR BAY,2,0.24571428571428572
193,-122.25,37.79,39.0,461.0,129.0,381.0,123.0,1.6,NEAR BAY,2,0.279826464208243
194,-122.25,37.79,52.0,902.0,237.0,846.0,227.0,3.625,NEAR BAY,3,0.26274944567627495
195,-122.26,37.8,20.0,2373.0,779.0,1659.0,676.0,1.6929,NEAR BAY,2,0.3282764433206911
196,-122.22,37.77,52.0,391.0,128.0,520.0,138.0,1.6471,NEAR BAY,2,0.3273657289002558
197,-122.22,37.77,52.0,1137.0,301.0,866.0,259.0,2.59,NEAR BAY,2,0.2647317502198769
198,-122.23,37.77,52.0,769.0,206.0,612.0,183.0,2.57,NEAR BAY,2,0.26788036410923277
199,-122.23,37.78,52.0,472.0,146.0,415.0,126.0,2.6429,NEAR BAY,2,0.3093220338983051
200,-122.23,37.78,52.0,862.0,215.0,994.0,213.0,3.0257,NEAR BAY,3,0.2494199535962877
201,-122.22,37.78,50.0,1920.0,530.0,1525.0,477.0,1.4886,NEAR BAY,1,0.2760416666666667
202,-122.23,37.78,43.0,1420.0,472.0,1506.0,438.0,1.9338,NEAR BAY,2,0.3323943661971831
203,-122.23,37.78,52.0,986.0,258.0,1008.0,255.0,1.4844,NEAR BAY,1,0.2616632860040568
204,-122.23,37.78,44.0,2340.0,825.0,2813.0,751.0,1.6009,NEAR BAY,2,0.3525641025641026
205,-122.23,37.79,48.0,1696.0,396.0,1481.0,343.0,2.0375,NEAR BAY,2,0.23349056603773585
206,-122.23,37.79,49.0,1175.0,217.0,859.0,219.0,2.293,NEAR BAY,2,0.18468085106382978
207,-122.22,37.79,37.0,2343.0,574.0,1608.0,523.0,2.1494,NEAR BAY,2,0.24498506188647035
208,-122.23,37.79,30.0,610.0,145.0,425.0,140.0,1.6198,NEAR BAY,2,0.23770491803278687
209,-122.23,37.79,40.0,930.0,199.0,564.0,184.0,1.3281,NEAR BAY,1,0.21397849462365592
210,-122.22,37.79,44.0,1487.0,314.0,961.0,272.0,3.5156,NEAR BAY,3,0.21116341627437793
211,-122.22,37.79,52.0,3424.0,690.0,2273.0,685.0,3.9048,NEAR BAY,3,0.20151869158878505
212,-122.21,37.79,52.0,762.0,190.0,600.0,195.0,3.0893,NEAR BAY,3,0.24934383202099739
213,-122.22,37.79,46.0,2366.0,575.0,1647.0,527.0,2.6042,NEAR BAY,2,0.24302620456466612
214,-122.22,37.79,49.0,1826.0,450.0,1201.0,424.0,2.5,NEAR BAY,2,0.24644030668127054
215,-122.22,37.79,38.0,3049.0,711.0,2167.0,659.0,2.7969,NEAR BAY,2,0.23319121023286324
216,-122.2,37.79,29.0,1640.0,376.0,939.0,340.0,2.8321,NEAR BAY,2,0.22926829268292684
217,-122.21,37.79,47.0,1543.0,307.0,859.0,292.0,2.9583,NEAR BAY,2,0.19896305897602073
218,-122.21,37.79,34.0,2364.0,557.0,1517.0,516.0,2.8365,NEAR BAY,2,0.2356175972927242
219,-122.21,37.79,35.0,1745.0,409.0,1143.0,386.0,2.875,NEAR BAY,2,0.2343839541547278
220,-122.21,37.8,39.0,2003.0,500.0,1109.0,464.0,3.0682,NEAR BAY,3,0.24962556165751373
221,-122.21,37.8,39.0,2018.0,447.0,1221.0,446.0,3.0757,NEAR BAY,3,0.22150644202180378
222,-122.2,37.8,43.0,3045.0,499.0,1115.0,455.0,4.9559,NEAR BAY,4,0.1638752052545156
223,-122.2,37.8,52.0,1547.0,293.0,706.0,268.0,4.7721,NEAR BAY,4,0.18939883645765998
224,-122.21,37.8,52.0,3519.0,711.0,1883.0,706.0,3.4861,NEAR BAY,3,0.2020460358056266
225,-122.2,37.8,41.0,2070.0,354.0,804.0,340.0,5.1184,NEAR BAY,4,0.17101449275362318
226,-122.21,37.8,48.0,1321.0,263.0,506.0,252.0,4.0977,NEAR BAY,3,0.19909159727479184
227,-122.19,37.8,48.0,1694.0,259.0,610.0,238.0,4.744,NEAR BAY,4,0.15289256198347106
228,-122.19,37.8,46.0,1938.0,341.0,768.0,332.0,4.2727,NEAR BAY,3,0.17595459236326108
229,-122.19,37.79,50.0,968.0,195.0,462.0,184.0,2.9844,NEAR BAY,2,0.20144628099173553
230,-122.2,37.79,40.0,1060.0,256.0,667.0,235.0,4.1739,NEAR BAY,3,0.24150943396226415
231,-122.2,37.8,46.0,2041.0,405.0,1059.0,399.0,3.8487,NEAR BAY,3,0.19843214110730034
232,-122.19,37.8,52.0,1813.0,271.0,637.0,277.0,4.0114,NEAR BAY,3,0.14947600661886376
233,-122.19,37.79,45.0,2718.0,451.0,1106.0,454.0,4.6563,NEAR BAY,4,0.1659308314937454
234,-122.19,37.79,28.0,3144.0,761.0,1737.0,669.0,2.9297,NEAR BAY,2,0.24204834605597964
235,-122.2,37.79,35.0,1802.0,459.0,1009.0,390.0,2.3036,NEAR BAY,2,0.25471698113207547
236,-122.2,37.79,49.0,882.0,195.0,737.0,210.0,2.6667,NEAR BAY,2,0.22108843537414966
237,-122.2,37.79,44.0,1621.0,452.0,1354.0,491.0,2.619,NEAR BAY,2,0.27884022208513265
238,-122.21,37.79,45.0,2115.0,533.0,1530.0,474.0,2.4167,NEAR BAY,2,0.2520094562647754
239,-122.2,37.79,45.0,2021.0,528.0,1410.0,480.0,2.7788,NEAR BAY,2,0.2612568035625928
240,-122.21,37.78,46.0,2239.0,508.0,1390.0,569.0,2.7352,NEAR BAY,2,0.2268870031263957
241,-122.21,37.78,52.0,1477.0,300.0,1065.0,269.0,1.8472,NEAR BAY,2,0.2031144211238998
242,-122.21,37.78,52.0,1056.0,224.0,792.0,245.0,2.6583,NEAR BAY,2,0.21212121212121213
243,-122.21,37.78,49.0,898.0,244.0,779.0,245.0,3.0536,NEAR BAY,3,0.2717149220489978
244,-122.22,37.78,44.0,2968.0,710.0,2269.0,610.0,2.3906,NEAR BAY,2,0.23921832884097036
245,-122.21,37.78,43.0,1702.0,460.0,1227.0,407.0,1.7188,NEAR BAY,2,0.2702702702702703
246,-122.21,37.78,47.0,881.0,248.0,753.0,241.0,2.625,NEAR BAY,2,0.2814982973893303
