,longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,ocean_proximity,bedrooms_per_room
11466,-117.99,33.66,29.0,1330.0,293.0,613.0,236.0,4.6591,<1H OCEAN,0.22030075187969925
16693,-120.61,35.11,11.0,3733.0,831.0,1839.0,739.0,3.3062,<1H OCEAN,0.22260916153227966
19686,-121.62,39.13,41.0,1317.0,309.0,856.0,337.0,1.6719,INLAND,0.23462414578587698
4292,-118.29,34.09,34.0,2716.0,1114.0,2991.0,1021.0,1.7514,<1H OCEAN,0.4101620029455081
20005,-119.13,36.13,28.0,1673.0,385.0,1434.0,371.0,2.0586,INLAND,0.2301255230125523
12953,-121.28,38.7,15.0,5828.0,1051.0,2868.0,1037.0,3.7813,INLAND,0.1803363074811256
14051,-117.13,32.76,22.0,2623.0,732.0,1283.0,718.0,2.1563,NEAR OCEAN,0.27906976744186046
10039,-121.03,39.21,28.0,2843.0,535.0,1310.0,525.0,3.2337,INLAND,0.18818149841716497
7342,-118.14,33.97,31.0,1161.0,267.0,1175.0,282.0,3.0114,<1H OCEAN,0.22997416020671835
1667,-122.21,38.02,15.0,2150.0,327.0,1094.0,324.0,6.0224,NEAR BAY,0.15209302325581395
12611,-121.52,38.53,31.0,3089.0,585.0,1366.0,561.0,4.2885,INLAND,0.18938167691809646
20322,-119.14,34.23,8.0,243.0,75.0,102.0,80.0,2.5714,NEAR OCEAN,0.30864197530864196
10637,-117.8,33.7,5.0,1549.0,378.0,735.0,355.0,5.2923,<1H OCEAN,0.24402840542285345
12093,-117.4,33.76,8.0,1954.0,330.0,973.0,321.0,4.4875,INLAND,0.16888433981576254
14629,-117.18,32.78,21.0,4185.0,1018.0,3122.0,993.0,3.0481,NEAR OCEAN,0.24324970131421744
17183,-122.5,37.51,11.0,749.0,137.0,355.0,124.0,8.2364,NEAR OCEAN,0.1829105473965287
2129,-119.72,36.8,15.0,3045.0,689.0,1340.0,588.0,3.1953,INLAND,0.22627257799671593
5047,-118.36,34.01,33.0,3140.0,466.0,1214.0,464.0,6.5044,<1H OCEAN,0.1484076433121019
2716,-115.57,32.8,17.0,1492.0,426.0,1595.0,428.0,1.7188,INLAND,0.2855227882037534
4588,-118.27,34.05,52.0,1292.0,864.0,2081.0,724.0,0.9563,<1H OCEAN,0.6687306501547987
8356,-118.32,33.97,52.0,1590.0,302.0,844.0,295.0,2.7139,<1H OCEAN,0.189937106918239
19660,-120.85,37.51,15.0,1131.0,285.0,728.0,281.0,1.5531,INLAND,0.2519893899204244
15898,-122.39,37.72,52.0,135.0,34.0,93.0,26.0,2.1484,NEAR BAY,0.2518518518518518
5759,-118.29,34.17,17.0,3852.0,1066.0,2986.0,993.0,2.3482,<1H OCEAN,0.2767393561786085
11583,-118.04,33.76,25.0,4061.0,545.0,1623.0,527.0,7.1572,<1H OCEAN,0.13420339817778873
4115,-118.42,34.14,27.0,3990.0,892.0,1417.0,800.0,4.0439,<1H OCEAN,0.22355889724310776
19586,-120.76,37.61,30.0,816.0,159.0,531.0,147.0,3.2604,INLAND,0.1948529411764706
9990,-121.07,39.09,17.0,1878.0,345.0,892.0,299.0,2.8864,INLAND,0.18370607028753994
88,-122.27,37.8,10.0,105.0,42.0,125.0,39.0,0.9722,NEAR BAY,0.4
7245,-118.11,34.0,24.0,2403.0,590.0,2103.0,547.0,2.7292,<1H OCEAN,0.2455264253017062
13535,-117.32,34.16,9.0,711.0,139.0,316.0,152.0,4.0156,INLAND,0.19549929676511954
13937,-117.27,34.24,34.0,3687.0,756.0,941.0,367.0,2.875,INLAND,0.2050447518307567
15052,-116.86,32.8,19.0,1747.0,291.0,848.0,290.0,4.875,<1H OCEAN,0.16657126502575845
16469,-121.26,38.13,38.0,1419.0,411.0,1226.0,397.0,2.2188,INLAND,0.28964059196617337
5275,-118.5,34.05,36.0,4152.0,542.0,1461.0,550.0,15.0001,<1H OCEAN,0.13053949903660886
19473,-120.98,37.68,18.0,4197.0,1006.0,2203.0,874.0,2.166,INLAND,0.23969502025256134
6419,-118.01,34.15,32.0,6597.0,1579.0,3689.0,1459.0,3.2377,INLAND,0.23935122025162953
4296,-118.28,34.09,38.0,790.0,275.0,664.0,194.0,3.0357,<1H OCEAN,0.34810126582278483
11733,-120.83,39.02,15.0,1117.0,242.0,551.0,229.0,2.6319,INLAND,0.21665174574753804
19570,-120.95,37.59,43.0,1561.0,354.0,862.0,332.0,1.8466,INLAND,0.2267777065983344
10854,-117.87,33.69,4.0,2337.0,768.0,983.0,655.0,3.7174,<1H OCEAN,0.3286264441591784
19172,-122.67,38.44,29.0,2551.0,448.0,1165.0,456.0,4.3587,<1H OCEAN,0.17561740493923952
8700,-118.35,33.87,28.0,2319.0,579.0,1369.0,564.0,3.6169,<1H OCEAN,0.24967658473479948
17675,-121.85,37.33,19.0,2228.0,559.0,2845.0,551.0,2.6,<1H OCEAN,0.2508976660682226
10883,-117.89,33.71,16.0,1591.0,225.0,926.0,239.0,6.2452,<1H OCEAN,0.14142049025769957
2477,-120.1,36.16,17.0,598.0,160.0,715.0,146.0,2.3295,INLAND,0.26755852842809363
18020,-121.95,37.24,32.0,1382.0,239.0,705.0,251.0,6.0957,<1H OCEAN,0.17293777134587554
5064,-118.29,33.98,41.0,1582.0,416.0,1422.0,370.0,1.0516,<1H OCEAN,0.2629582806573957
15808,-122.44,37.76,52.0,2509.0,496.0,855.0,478.0,5.0731,NEAR BAY,0.19768832204065365
5674,-118.32,33.73,25.0,1099.0,168.0,407.0,159.0,7.6886,NEAR OCEAN,0.15286624203821655
7338,-118.15,33.97,33.0,1903.0,469.0,1882.0,435.0,2.4071,<1H OCEAN,0.2464529689963216
11649,-118.04,33.85,24.0,2233.0,347.0,1162.0,355.0,5.6094,<1H OCEAN,0.15539632781012092
14471,-117.23,32.88,18.0,5566.0,1465.0,6303.0,1458.0,1.858,NEAR OCEAN,0.26320517427236795
17544,-121.87,37.34,52.0,1170.0,215.0,604.0,207.0,2.6667,<1H OCEAN,0.18376068376068377
4715,-118.37,34.06,52.0,1608.0,289.0,630.0,252.0,5.5596,<1H OCEAN,0.17972636815920398
18149,-122.03,37.34,17.0,1165.0,278.0,598.0,287.0,4.0129,<1H OCEAN,0.23862660944206007
11931,-117.39,33.95,35.0,3306.0,680.0,1742.0,673.0,3.7109,INLAND,0.205686630369026
3581,-118.54,34.25,26.0,2639.0,378.0,1191.0,401.0,6.2788,<1H OCEAN,0.14323607427055704
5859,-118.33,34.18,45.0,1552.0,315.0,785.0,316.0,3.7411,<1H OCEAN,0.2029639175257732
17301,-119.51,34.39,32.0,1921.0,394.0,951.0,334.0,3.233,NEAR OCEAN,0.20510150963040083
7130,-118.11,34.02,17.0,9559.0,1911.0,5279.0,1844.0,5.1515,<1H OCEAN,0.19991630923736792
11694,-117.98,33.89,18.0,2939.0,437.0,1278.0,435.0,7.1425,<1H OCEAN,0.14869003062266076
20581,-122.21,38.83,20.0,1138.0,221.0,459.0,209.0,3.1534,INLAND,0.19420035149384884
7229,-118.16,34.02,44.0,1218.0,374.0,1175.0,342.0,1.9688,<1H OCEAN,0.3070607553366174
20431,-118.8,34.21,16.0,1466.0,196.0,661.0,209.0,6.2893,<1H OCEAN,0.13369713506139155
9405,-122.53,37.87,20.0,1814.0,282.0,658.0,253.0,7.9977,NEAR BAY,0.15545755237045203
18340,-122.14,37.43,52.0,1944.0,308.0,696.0,293.0,8.2664,NEAR BAY,0.15843621399176955
9686,-121.62,36.71,24.0,4195.0,706.0,2200.0,647.0,4.3451,<1H OCEAN,0.16829558998808106
17237,-119.66,34.43,27.0,5509.0,1059.0,2591.0,979.0,3.8456,<1H OCEAN,0.19223089489925577
8103,-118.22,33.8,33.0,1984.0,477.0,1764.0,440.0,3.875,NEAR OCEAN,0.2404233870967742
12650,-121.47,38.52,42.0,2316.0,515.0,1597.0,522.0,1.8205,INLAND,0.22236614853195164
3172,-119.55,36.37,26.0,1912.0,339.0,1002.0,311.0,3.0375,INLAND,0.17730125523012552
16474,-121.25,38.14,16.0,1174.0,242.0,464.0,261.0,2.3,INLAND,0.2061328790459966
17428,-120.47,34.65,16.0,2549.0,428.0,1486.0,432.0,4.2875,NEAR OCEAN,0.16790898391526088
19440,-121.0,37.68,29.0,2911.0,445.0,1170.0,460.0,4.9904,INLAND,0.15286843009275164
14183,-117.07,32.71,39.0,2754.0,652.0,2263.0,619.0,2.2454,NEAR OCEAN,0.23674655047204066
15135,-116.92,32.85,23.0,1378.0,269.0,767.0,266.0,4.0625,<1H OCEAN,0.19521044992743106
13533,-117.33,34.17,5.0,4718.0,1140.0,2564.0,1056.0,2.9877,INLAND,0.24162780839338702
14795,-117.11,32.58,21.0,2894.0,685.0,2109.0,712.0,2.2755,NEAR OCEAN,0.23669661368348308
8881,-118.49,34.03,30.0,4061.0,927.0,1487.0,865.0,4.1827,<1H OCEAN,0.22826889928589017
19282,-122.72,38.42,30.0,2099.0,406.0,1156.0,401.0,2.8036,<1H OCEAN,0.19342544068604098
11807,-121.1,38.92,21.0,4064.0,871.0,1847.0,859.0,3.0321,INLAND,0.2143208661417323
13667,-117.27,34.09,36.0,848.0,186.0,737.0,169.0,0.9838,INLAND,0.21933962264150944
1226,-120.56,38.39,20.0,1326.0,307.0,563.0,237.0,2.6667,INLAND,0.23152337858220212
14450,-117.24,32.81,34.0,2420.0,391.0,917.0,392.0,6.5881,NEAR OCEAN,0.1615702479338843
15964,-122.44,37.71,46.0,1230.0,247.0,895.0,257.0,5.3913,NEAR BAY,0.2008130081300813
1131,-121.63,39.76,22.0,2598.0,482.0,1151.0,490.0,2.8182,INLAND,0.1855273287143957
7188,-118.17,34.04,45.0,911.0,238.0,1005.0,229.0,2.8167,<1H OCEAN,0.26125137211855104
8638,-118.41,33.88,34.0,1471.0,308.0,498.0,264.0,7.0842,<1H OCEAN,0.20938137321549966
20221,-119.27,34.29,32.0,2274.0,406.0,982.0,393.0,5.3254,NEAR OCEAN,0.1785400175901495
12618,-121.54,38.5,15.0,6093.0,1051.0,2415.0,997.0,4.2075,INLAND,0.17249302478253734
9486,-123.18,39.26,25.0,3066.0,570.0,1558.0,535.0,3.788,<1H OCEAN,0.18590998043052837
16240,-121.29,37.99,41.0,930.0,191.0,463.0,185.0,3.4141,INLAND,0.2053763440860215
8895,-118.49,34.03,31.0,3155.0,808.0,1208.0,745.0,3.6769,<1H OCEAN,0.2561014263074485
11486,-117.99,33.72,17.0,2801.0,649.0,1473.0,535.0,4.2875,<1H OCEAN,0.2317029632274188
9855,-121.88,36.58,29.0,4910.0,871.0,3438.0,904.0,4.0432,NEAR OCEAN,0.1773930753564155
14971,-117.01,32.73,22.0,2526.0,530.0,1556.0,529.0,2.8646,NEAR OCEAN,0.20981789390340458
7118,-118.02,33.9,34.0,1636.0,358.0,977.0,357.0,3.5938,<1H OCEAN,0.21882640586797067
3063,-119.24,35.68,21.0,1885.0,398.0,1539.0,388.0,2.5208,INLAND,0.21114058355437665
7580,-118.22,33.89,36.0,873.0,240.0,1086.0,217.0,2.25,<1H OCEAN,0.27491408934707906
19311,-122.89,38.38,16.0,2017.0,369.0,931.0,336.0,5.7664,<1H OCEAN,0.18294496777392166
1036,-120.79,38.43,40.0,1391.0,246.0,546.0,214.0,3.9107,INLAND,0.1768511861969806
5865,-118.34,34.18,46.0,1393.0,301.0,714.0,295.0,2.8125,<1H OCEAN,0.21608040201005024
16313,-121.33,38.01,36.0,1383.0,207.0,531.0,203.0,5.9191,INLAND,0.14967462039045554
6578,-118.18,34.2,44.0,1473.0,250.0,668.0,239.0,8.72,<1H OCEAN,0.1697216564833673
1355,-121.92,38.03,16.0,2176.0,464.0,1410.0,434.0,3.5436,INLAND,0.21323529411764705
6998,-118.04,33.95,36.0,2722.0,515.0,1390.0,486.0,3.8214,<1H OCEAN,0.18919911829537106
17236,-119.66,34.44,26.0,2790.0,413.0,1014.0,397.0,6.5631,<1H OCEAN,0.14802867383512544
1899,-120.01,38.89,24.0,1669.0,422.0,589.0,281.0,3.0089,INLAND,0.25284601557819053
15084,-116.96,32.8,25.0,3421.0,803.0,1681.0,742.0,3.369,<1H OCEAN,0.2347266881028939
11572,-118.01,33.76,26.0,2141.0,597.0,2038.0,585.0,2.2981,<1H OCEAN,0.2788416627744045
10729,-117.87,33.6,20.0,3212.0,572.0,1064.0,526.0,6.6155,<1H OCEAN,0.1780821917808219
12101,-117.34,33.94,13.0,7910.0,1332.5137569420472,3382.0,1176.0,5.5563,INLAND,0.1684593877297152
5660,-118.31,33.73,52.0,2025.0,361.0,957.0,363.0,4.2059,NEAR OCEAN,0.1782716049382716
17646,-121.91,37.26,32.0,3776.0,620.0,1790.0,612.0,5.4675,<1H OCEAN,0.1641949152542373
18998,-121.96,38.34,14.0,3035.0,680.0,1597.0,663.0,3.6036,INLAND,0.22405271828665568
9097,-118.61,34.73,25.0,3080.0,587.0,1558.0,510.0,5.0839,INLAND,0.19058441558441558
6587,-118.23,34.22,37.0,1376.0,237.0,618.0,226.0,5.9771,<1H OCEAN,0.17223837209302326
16493,-121.09,38.03,21.0,2064.0,342.0,1021.0,359.0,4.517,INLAND,0.16569767441860464
2698,-115.38,32.82,38.0,1892.0,394.0,1175.0,374.0,1.9939,INLAND,0.20824524312896406
3003,-119.01,35.31,19.0,7092.0,1517.0,4101.0,1436.0,2.1006,INLAND,0.21390298928369994
7209,-118.17,34.03,41.0,2099.0,530.0,2325.0,528.0,2.1979,<1H OCEAN,0.252501191043354
11924,-117.39,33.95,35.0,1599.0,284.0,721.0,287.0,4.125,INLAND,0.17761100687929957
13327,-117.66,34.05,33.0,960.0,216.0,831.0,222.0,2.5391,INLAND,0.225
13028,-121.21,38.67,19.0,2987.0,626.0,1610.0,605.0,3.0533,INLAND,0.20957482423836626
15926,-122.44,37.73,52.0,866.0,205.0,587.0,171.0,5.0224,NEAR BAY,0.23672055427251731
4846,-118.31,34.02,52.0,1173.0,284.0,814.0,295.0,2.45,<1H OCEAN,0.2421142369991475
2668,-115.46,33.19,33.0,1234.0,373.0,777.0,298.0,1.0,INLAND,0.30226904376012964
8513,-118.31,33.89,35.0,2144.0,423.0,1192.0,417.0,4.1458,<1H OCEAN,0.197294776119403
14179,-117.06,32.73,33.0,3444.0,619.0,1884.0,582.0,3.7891,NEAR OCEAN,0.179732868757259
19681,-121.62,39.15,36.0,2321.0,455.0,1168.0,489.0,3.0962,INLAND,0.19603619129685482
4575,-118.28,34.07,41.0,1072.0,331.0,1111.0,314.0,1.9233,<1H OCEAN,0.3087686567164179
7519,-118.26,33.91,39.0,935.0,210.0,711.0,193.0,2.4375,<1H OCEAN,0.22459893048128343
13428,-117.45,34.1,9.0,4288.0,1017.0,3156.0,900.0,2.7827,INLAND,0.23717350746268656
18880,-122.26,38.1,30.0,3317.0,1058.0,1794.0,990.0,1.1835,NEAR BAY,0.3189629182996684
4116,-118.42,34.13,38.0,3830.0,518.0,1292.0,516.0,12.7823,<1H OCEAN,0.1352480417754569
6050,-117.74,34.03,27.0,3623.0,809.0,3712.0,754.0,3.4609,INLAND,0.22329561137179132
12919,-121.31,38.66,27.0,1713.0,282.0,761.0,295.0,5.2081,INLAND,0.1646234676007005
12507,-121.43,38.56,46.0,1316.0,244.0,452.0,245.0,3.0938,INLAND,0.18541033434650456
4929,-118.24,33.99,41.0,1425.0,372.0,1803.0,353.0,1.6731,<1H OCEAN,0.26105263157894737
18857,-122.27,41.2,52.0,4513.0,985.0,1926.0,815.0,1.5923,INLAND,0.2182583647241303
14806,-117.18,32.68,29.0,1539.0,344.0,556.0,289.0,3.25,NEAR OCEAN,0.2235217673814165
11719,-120.11,39.21,18.0,2245.0,392.0,421.0,162.0,4.5795,INLAND,0.17461024498886416
3488,-118.57,34.29,4.0,6995.0,1151.0,2907.0,1089.0,7.0808,<1H OCEAN,0.16454610436025732
5167,-118.29,33.94,34.0,1089.0,278.0,995.0,315.0,2.3352,<1H OCEAN,0.25528007346189163
6542,-118.06,34.03,36.0,21.0,7.0,21.0,9.0,2.375,<1H OCEAN,0.3333333333333333
7158,-118.16,34.04,22.0,2991.0,791.0,2486.0,754.0,1.5078,<1H OCEAN,0.26446004680708796
13549,-117.31,34.13,36.0,1076.0,283.0,773.0,224.0,2.6307,INLAND,0.26301115241635686
18043,-121.95,37.21,20.0,2345.0,322.0,890.0,276.0,10.0187,<1H OCEAN,0.1373134328358209
19513,-121.03,37.62,43.0,1241.0,240.0,612.0,266.0,2.8194,INLAND,0.19339242546333602
3812,-118.48,34.21,25.0,2879.0,723.0,2077.0,649.0,3.3864,<1H OCEAN,0.25112886418895447
4068,-118.48,34.15,31.0,2536.0,429.0,990.0,424.0,5.4591,<1H OCEAN,0.1691640378548896
17607,-121.9,37.29,26.0,1797.0,244.0,626.0,244.0,7.8575,<1H OCEAN,0.13578185865331108
9847,-121.91,36.6,35.0,2605.0,410.0,1110.0,406.0,5.5519,NEAR OCEAN,0.15738963531669867
4472,-118.18,34.08,31.0,1318.0,311.0,1164.0,289.0,2.9939,<1H OCEAN,0.23596358118361152
5738,-118.24,34.16,52.0,2187.0,284.0,733.0,274.0,9.5823,<1H OCEAN,0.12985825331504344
19285,-122.75,38.43,36.0,1599.0,345.0,1086.0,314.0,2.6667,<1H OCEAN,0.21575984990619138
7365,-118.2,33.96,44.0,3114.0,779.0,2959.0,776.0,3.1875,<1H OCEAN,0.25016056518946694
15182,-117.08,33.04,10.0,2577.0,347.0,1193.0,365.0,6.53,<1H OCEAN,0.13465269693441986
9067,-118.16,34.71,27.0,6007.0,998.0,2680.0,882.0,4.1719,INLAND,0.16613950391210255
20338,-119.03,34.23,16.0,5323.0,795.0,2493.0,779.0,5.6762,<1H OCEAN,0.1493518692466654
12044,-117.51,33.89,16.0,5418.0,1005.0,2690.0,1088.0,4.0556,INLAND,0.18549280177187155
6801,-118.13,34.09,42.0,700.0,212.0,662.0,210.0,3.0078,<1H OCEAN,0.3028571428571429
18667,-121.86,37.0,16.0,8638.0,1392.0,3706.0,1251.0,5.503,<1H OCEAN,0.16114841398471869
8663,-118.38,33.83,40.0,3070.0,570.0,1264.0,506.0,5.1626,<1H OCEAN,0.18566775244299674
3142,-118.15,35.06,15.0,1069.0,296.0,569.0,263.0,2.0441,INLAND,0.2768942937324602
13806,-117.01,34.9,36.0,2181.0,555.0,1404.0,492.0,2.3077,INLAND,0.2544704264099037
